Date,ECRPUS 1Y Index,SPXSFRCS Index,FDTRFTRL Index,,success
1/3/20,30,3318,1.5,43833,1
1/6/20,30,3318,1.5,43836,0
1/7/20,30,3318,1.5,43837,0
1/8/20,30,3318,1.5,43838,0
1/9/20,30,3318,1.5,43839,0
1/10/20,30,3318,1.5,43840,0
1/13/20,30,3318,1.5,43843,0
1/14/20,30,3318,1.5,43844,0
1/15/20,30,3318,1.5,43845,0
1/16/20,30,3318,1.5,43846,0
1/17/20,30,3318,1.5,43847,0
1/21/20,30,3355,1.5,43851,0
1/22/20,30,3355,1.5,43852,-1
1/23/20,30,3355,1.5,43853,-1
1/24/20,30,3355,1.5,43854,-1
1/27/20,30,3355,1.5,43857,-1
1/28/20,30,3355,1.5,43858,0
1/29/20,30,3355,1.5,43859,1
1/30/20,30,3355,1.5,43860,1
1/31/20,30,3355,1.5,43861,1
2/3/20,30,3355,1.5,43864,0
2/4/20,30,3355,1.5,43865,0
2/5/20,30,3355,1.5,43866,0
2/6/20,30,3355,1.5,43867,0
2/7/20,30,3355,1.5,43868,0
2/10/20,30,3355,1.5,43871,0
2/11/20,30,3355,1.5,43872,0
2/12/20,30,3355,1.5,43873,0
2/13/20,30,3355,1.5,43874,0
2/14/20,25,3355,1.5,43875,0
2/18/20,25,3355,1.5,43879,-1
2/19/20,25,3355,1.5,43880,-1
2/20/20,25,3342,1.5,43881,-1
2/21/20,25,3342,1.5,43882,-1
2/24/20,25,3342,1.5,43885,-1
2/25/20,25,3342,1.5,43886,-1
2/26/20,25,3342,1.5,43887,1
2/27/20,25,3342,1.5,43888,1
2/28/20,25,3342,1.5,43889,1
3/2/20,25,3342,1.5,43892,0
3/3/20,25,3342,1,43893,1
3/4/20,25,3342,1,43894,-1
3/5/20,25,3342,1,43895,-1
3/6/20,25,3342,1,43896,-1
3/9/20,25,3342,1,43899,-1
3/10/20,25,3342,1,43900,1
3/11/20,25,3342,1,43901,-1
3/12/20,25,3342,1,43902,-1
3/13/20,40,3342,1,43903,1
3/16/20,40,3342,0,43906,-1
3/17/20,40,3342,0,43907,1
3/18/20,40,3176,0,43908,1
3/19/20,40,3176,0,43909,1
3/20/20,40,3176,0,43910,1
3/23/20,40,3176,0,43913,1
3/24/20,40,3176,0,43914,0
3/25/20,40,3176,0,43915,1
3/26/20,40,3039,0,43916,0
3/27/20,40,3039,0,43917,1
3/30/20,40,3039,0,43920,1
3/31/20,40,3039,0,43921,1
4/1/20,40,3039,0,43922,1
4/2/20,40,3039,0,43923,0
4/3/20,40,3039,0,43924,1
4/6/20,40,3039,0,43927,0
4/7/20,40,3039,0,43928,0
4/8/20,40,3039,0,43929,0
4/9/20,52.5,3039,0,43930,0
4/13/20,100,3039,0,43934,1
4/14/20,100,3039,0,43935,0
4/15/20,100,2960,0,43936,1
4/16/20,100,2960,0,43937,0
4/17/20,100,2960,0,43938,1
4/20/20,100,2960,0,43941,1
4/21/20,100,2960,0,43942,1
4/22/20,100,2960,0,43943,0
4/23/20,100,2960,0,43944,0
4/24/20,100,2960,0,43945,0
4/27/20,100,2960,0,43948,0
4/28/20,100,2960,0,43949,0
4/29/20,100,2960,0,43950,1
4/30/20,100,2960,0,43951,-1
5/1/20,100,2960,0,43952,1
5/4/20,100,2960,0,43955,1
5/5/20,100,2960,0,43956,0
5/6/20,100,2960,0,43957,0
5/7/20,100,2960,0,43958,0
