trade_id,asset,dt_enter,dt_exit,success,n,rtn
1,IVV,1/3/20,1/8/20,1,4,0.002487582713292023
2,IVV,1/6/20,,0,3,
3,IVV,1/7/20,,0,3,
4,IVV,1/8/20,,0,3,
5,IVV,1/9/20,,0,3,
6,IVV,1/10/20,,0,3,
7,IVV,1/13/20,,0,3,
8,IVV,1/14/20,,0,3,
9,IVV,1/15/20,,0,3,
10,IVV,1/16/20,,0,3,
11,IVV,1/17/20,,0,3,
12,IVV,1/21/20,,0,3,
13,IVV,1/22/20,1/31/20,-1,8,-0.0023786894993227435
14,IVV,1/23/20,1/31/20,-1,7,-0.00274885268036833
15,IVV,1/24/20,1/31/20,-1,6,-0.003414238230378584
16,IVV,1/27/20,2/3/20,-1,6,-0.0006998840407425075
17,IVV,1/28/20,,0,3,
18,IVV,1/29/20,1/30/20,1,2,0.004975165426584046
19,IVV,1/30/20,2/4/20,1,4,0.002487582713292023
20,IVV,1/31/20,2/4/20,1,3,0.003316776951056031
21,IVV,2/3/20,,0,3,
22,IVV,2/4/20,,0,3,
23,IVV,2/5/20,,0,3,
24,IVV,2/6/20,,0,3,
25,IVV,2/7/20,,0,3,
26,IVV,2/10/20,,0,3,
27,IVV,2/11/20,,0,3,
28,IVV,2/12/20,,0,3,
29,IVV,2/13/20,,0,3,
30,IVV,2/14/20,,0,3,
31,IVV,2/18/20,2/27/20,-1,8,-0.014585640267478724
32,IVV,2/19/20,2/28/20,-1,8,-0.01546461308268613
33,IVV,2/20/20,2/27/20,-1,6,-0.01984425148104786
34,IVV,2/21/20,2/28/20,-1,6,-0.020733913683343774
35,IVV,2/24/20,3/2/20,-1,6,-0.011041426579481532
36,IVV,2/25/20,3/3/20,-1,6,-0.010232172000973204
37,IVV,2/26/20,3/3/20,1,5,0.0019900661706336183
38,IVV,2/27/20,3/3/20,1,4,0.002487582713292023
39,IVV,2/28/20,3/2/20,1,2,0.004975165426584046
40,IVV,3/2/20,,0,3,
41,IVV,3/3/20,3/4/20,1,2,0.004975165426584046
42,IVV,3/4/20,3/13/20,-1,8,-0.011819580554006021
43,IVV,3/5/20,3/12/20,-1,6,-0.03740467883442775
44,IVV,3/6/20,3/13/20,-1,6,-0.017005552462511387
45,IVV,3/9/20,3/16/20,-1,6,-0.034706740993635805
46,IVV,3/10/20,3/11/20,1,2,0.004975165426584046
47,IVV,3/11/20,3/18/20,-1,6,-0.02879331339106875
48,IVV,3/12/20,3/19/20,-1,6,-0.01987666641986501
49,IVV,3/13/20,3/17/20,1,3,0.003316776951056031
50,IVV,3/16/20,3/23/20,-1,6,-0.029922595674678133
51,IVV,3/17/20,3/18/20,1,2,0.004975165426584046
52,IVV,3/18/20,3/25/20,1,6,0.0016583884755280154
53,IVV,3/19/20,3/19/20,1,1,0.009950330853168092
54,IVV,3/20/20,3/24/20,1,3,0.003316776951056031
55,IVV,3/23/20,3/24/20,1,2,0.004975165426584046
56,IVV,3/24/20,,0,3,
57,IVV,3/25/20,3/25/20,1,1,0.009950330853168092
58,IVV,3/26/20,,0,3,
59,IVV,3/27/20,3/30/20,1,2,0.004975165426584046
60,IVV,3/30/20,4/6/20,1,6,0.0016583884755280154
61,IVV,3/31/20,4/6/20,1,5,0.0019900661706336183
62,IVV,4/1/20,4/6/20,1,4,0.002487582713292023
63,IVV,4/2/20,,0,3,
64,IVV,4/3/20,4/6/20,1,2,0.004975165426584046
65,IVV,4/6/20,,0,3,
66,IVV,4/7/20,,0,3,
67,IVV,4/8/20,,0,3,
68,IVV,4/9/20,,0,3,
69,IVV,4/13/20,4/14/20,1,2,0.004975165426584046
70,IVV,4/14/20,,0,3,
71,IVV,4/15/20,4/17/20,1,3,0.003316776951056031
72,IVV,4/16/20,,0,3,
73,IVV,4/17/20,4/22/20,1,4,0.002487582713292023
74,IVV,4/20/20,4/27/20,1,6,0.001658388475528052
75,IVV,4/21/20,4/23/20,1,3,0.003316776951056031
76,IVV,4/22/20,,0,3,
77,IVV,4/23/20,,0,3,
78,IVV,4/24/20,,0,3,
79,IVV,4/27/20,,0,3,
80,IVV,4/28/20,,0,3,
81,IVV,4/29/20,5/5/20,1,5,0.0019900661706336626
82,IVV,4/30/20,5/7/20,-1,6,-0.0014717306720422282
83,IVV,5/1/20,5/8/20,1,6,0.0016583884755280154
84,IVV,5/4/20,5/4/20,1,1,0.009950330853168092
85,IVV,5/5/20,,0,3,
86,IVV,5/6/20,,0,3,
87,IVV,5/7/20,,0,3,
88,IVV,5/8/20,,0,3,
89,IVV,5/11/20,5/18/20,1,6,0.0016583884755280154
90,IVV,5/12/20,5/18/20,1,5,0.0019900661706336626
91,IVV,5/13/20,5/18/20,1,4,0.002487582713292023
92,IVV,5/14/20,5/14/20,1,1,0.009950330853168092
93,IVV,5/15/20,5/15/20,1,1,0.009950330853168092
94,IVV,5/18/20,,0,3,
95,IVV,5/19/20,5/20/20,1,2,0.004975165426584046
96,IVV,5/20/20,,0,3,
97,IVV,5/21/20,5/26/20,1,4,0.002487582713292023
98,IVV,5/22/20,,0,3,
99,IVV,5/26/20,,0,3,
100,IVV,5/27/20,,0,3,
101,IVV,5/28/20,5/29/20,1,2,0.004975165426584046
102,IVV,5/29/20,5/29/20,1,1,0.009950330853168092
103,IVV,6/1/20,,0,3,
104,IVV,6/2/20,,0,3,
105,IVV,6/3/20,,0,3,
106,IVV,6/4/20,6/5/20,1,2,0.004975165426584046
107,IVV,6/5/20,,0,3,
108,IVV,6/8/20,,0,3,
109,IVV,6/9/20,6/16/20,-1,6,-0.004401233744303235
110,IVV,6/10/20,6/18/20,-1,7,-0.003249726000895695
111,IVV,6/11/20,6/18/20,-1,6,-0.002805554184266533
112,IVV,6/12/20,6/15/20,1,2,0.004975165426584046
113,IVV,6/15/20,6/15/20,1,1,0.009950330853168092
114,IVV,6/16/20,,0,3,
115,IVV,6/17/20,6/19/20,1,3,0.003316776951055957
116,IVV,6/18/20,6/22/20,1,3,0.003316776951056104
117,IVV,6/19/20,6/22/20,1,2,0.004975165426584046
118,IVV,6/22/20,6/30/20,1,7,0.0014214758361668703
119,IVV,6/23/20,7/1/20,1,7,0.0014214758361668703
120,IVV,6/24/20,7/1/20,-1,6,0.0009272832079846453
121,IVV,6/25/20,6/29/20,1,3,0.003316776951056031
122,IVV,6/26/20,6/30/20,1,3,0.003316776951056031
123,IVV,6/29/20,,0,3,
124,IVV,6/30/20,,0,3,
125,IVV,7/1/20,,0,3,
126,IVV,7/2/20,,0,3,
127,IVV,7/6/20,,0,3,
128,IVV,7/7/20,7/9/20,1,3,0.003316776951056031
129,IVV,7/8/20,,0,3,
130,IVV,7/9/20,7/10/20,1,2,0.004975165426584046
131,IVV,7/10/20,,0,3,
132,IVV,7/13/20,7/14/20,1,2,0.004975165426584046
133,IVV,7/14/20,,0,3,
134,IVV,7/15/20,,0,3,
135,IVV,7/16/20,,0,3,
136,IVV,7/17/20,,0,3,
137,IVV,7/20/20,,0,3,
138,IVV,7/21/20,,0,3,
139,IVV,7/22/20,7/29/20,1,6,0.0016583884755280154
140,IVV,7/23/20,7/30/20,-1,6,0.00018969983334333673
141,IVV,7/24/20,7/27/20,1,2,0.004975165426584046
142,IVV,7/27/20,,0,3,
143,IVV,7/28/20,7/30/20,1,3,0.003316776951056031
144,IVV,7/29/20,,0,3,
145,IVV,7/30/20,7/31/20,1,2,0.004975165426584046
146,IVV,7/31/20,,0,3,
147,IVV,8/3/20,,0,3,
148,IVV,8/4/20,,0,3,
149,IVV,8/5/20,,0,3,
150,IVV,8/6/20,,0,3,
151,IVV,8/7/20,,0,3,
152,IVV,8/10/20,,0,3,
153,IVV,8/11/20,8/12/20,1,2,0.004975165426584046
154,IVV,8/12/20,,0,3,
155,IVV,8/13/20,,0,3,
156,IVV,8/14/20,,0,3,
157,IVV,8/17/20,,0,3,
158,IVV,8/18/20,,0,3,
159,IVV,8/19/20,8/21/20,1,3,0.003316776951056031
160,IVV,8/20/20,,0,3,
161,IVV,8/21/20,,0,3,
162,IVV,8/24/20,,0,3,
163,IVV,8/25/20,,0,3,
164,IVV,8/26/20,,0,3,
165,IVV,8/27/20,,0,3,
166,IVV,8/28/20,,0,3,
167,IVV,8/31/20,,0,3,
168,IVV,9/1/20,9/11/20,-1,9,-0.003867729066336473
169,IVV,9/2/20,9/11/20,-1,8,-0.005519193608585802
170,IVV,9/3/20,9/11/20,-1,7,-0.008383269122937239
171,IVV,9/4/20,9/14/20,-1,7,-0.0014679166361665993
172,IVV,9/8/20,9/15/20,-1,6,0.000503340508547727
173,IVV,9/9/20,,0,3,
174,IVV,9/10/20,9/14/20,1,3,0.003316776951056031
175,IVV,9/11/20,,0,3,
176,IVV,9/14/20,,0,3,
177,IVV,9/15/20,9/24/20,-1,8,-0.004478271501718207
178,IVV,9/16/20,9/24/20,-1,7,-0.0058422755629225715
179,IVV,9/17/20,9/24/20,-1,6,-0.0061542196763844795
180,IVV,9/18/20,9/25/20,-1,6,-0.002028748560622674
181,IVV,9/21/20,9/22/20,1,2,0.004975165426584046
182,IVV,9/22/20,9/25/20,1,4,0.002487582713292023
183,IVV,9/23/20,9/28/20,1,4,0.002487582713292023
184,IVV,9/24/20,,0,3,
185,IVV,9/25/20,,0,3,
186,IVV,9/28/20,,0,3,
187,IVV,9/29/20,,0,3,
188,IVV,9/30/20,,0,3,
