date,Close,Adjusted Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
30-Mar-2023,9.08,9.09,-0.01,0%,9.04,9.00,9.39,"4,696,222","43,006,669.00"
29-Mar-2023,9.09,,-0.31,-3%,9.13,9.02,9.25,"4,733,751","43,193,839.00"
28-Mar-2023,9.40,,-0.22,-2%,9.64,9.38,9.72,"5,180,335","49,237,473.00"
27-Mar-2023,9.62,,-0.39,-4%,9.79,9.58,9.95,"5,761,693","56,086,356.00"
24-Mar-2023,10.01,,-0.44,-4%,10.72,10.00,11.18,"11,587,491","123,023,296.00"
23-Mar-2023,10.45,,+0.31,3%,9.84,9.49,10.60,"11,245,544","113,505,790.00"
22-Mar-2023,10.14,,+0.37,4%,9.75,9.43,10.18,"11,339,553","110,276,752.00"
21-Mar-2023,9.77,,-0.99,-9%,10.22,9.74,10.22,"8,466,880","84,591,143.00"
20-Mar-2023,10.76,,-0.47,-4%,11.29,10.69,11.44,"11,637,079","127,612,909.00"
17-Mar-2023,11.23,,+1.07,11%,10.48,10.30,11.42,"24,181,940","263,760,693.00"
16-Mar-2023,10.16,,-0.96,-9%,11.49,10.13,11.57,"16,361,066","175,461,989.00"
15-Mar-2023,11.12,,+0.78,8%,11.27,10.91,12.16,"31,200,088","358,715,409.00"
14-Mar-2023,10.34,,-0.61,-6%,10.19,9.77,10.72,"10,431,935","106,926,479.00"
13-Mar-2023,10.95,,+0.33,3%,11.74,10.74,12.01,"27,825,868","311,236,083.00"
10-Mar-2023,10.62,,+1.01,11%,9.67,9.65,11.62,"31,442,772","332,850,119.00"
09-Mar-2023,9.61,,+0.94,11%,8.60,8.55,9.64,"11,073,047","102,150,023.00"
08-Mar-2023,8.67,,-0.18,-2%,8.89,8.64,8.91,"4,458,126","39,094,941.00"
07-Mar-2023,8.85,,+0.18,2%,8.65,8.51,8.90,"5,555,371","48,470,999.00"
06-Mar-2023,8.67,,-0.09,-1%,8.72,8.60,8.75,"3,919,381","33,948,348.00"
03-Mar-2023,8.76,,-0.29,-3%,8.96,8.75,9.00,"5,453,464","48,478,152.00"
02-Mar-2023,9.05,,-0.33,-4%,9.57,9.04,9.58,"5,435,083","50,125,957.00"
01-Mar-2023,9.38,,+0.06,1%,9.37,9.21,9.61,"5,252,504","49,377,642.00"
