date,Close,Net,chg,Open,Low,High,Volume
45014.00,11926.24,210.16,0.02,11855.59,11823.35,11941.60,915054823.00
45013.00,11716.08,-52.76,0.00,11752.76,11635.03,11752.76,773096658.00
45012.00,11768.84,-55.12,0.00,11868.54,11739.05,11903.21,844706448.00
45009.00,11823.96,36.56,0.00,11747.62,11670.67,11826.23,897321637.00
45008.00,11787.40,117.44,0.01,11811.32,11684.52,11962.69,1004037264.00
45007.00,11669.96,-190.15,-0.02,11857.50,11666.85,12013.99,963971105.00
45006.00,11860.11,184.57,0.02,11764.79,11724.91,11879.16,1044960741.00
45005.00,11675.54,45.02,0.00,11614.39,11550.69,11695.55,1082157072.00
45002.00,11630.51,-86.76,-0.01,11696.35,11562.63,11773.11,2944831821.00
45001.00,11717.28,283.23,0.02,11384.87,11365.49,11733.80,1130574664.00
45000.00,11434.05,5.90,0.00,11291.17,11238.44,11447.90,1222531861.00
44999.00,11428.15,239.31,0.02,11357.74,11284.93,11467.02,1175906782.00
44998.00,11188.84,49.95,0.00,11041.46,10982.80,11326.73,1307248927.00
44995.00,11138.89,-199.47,-0.02,11325.36,11093.86,11373.81,1230416067.00
44994.00,11338.36,-237.65,-0.02,11578.31,11319.98,11667.12,994855955.00
44993.00,11576.00,45.67,0.00,11553.09,11487.75,11601.23,923101605.00
44992.00,11530.33,-145.40,-0.01,11670.98,11512.03,11705.97,973959086.00
44991.00,11675.74,-13.27,0.00,11736.87,11667.48,11827.92,977571073.00
44988.00,11689.01,226.02,0.02,11524.65,11514.74,11699.63,965046041.00
44987.00,11462.98,83.50,0.01,11273.77,11273.61,11487.59,950089835.00
44986.00,11379.48,-76.06,-0.01,11447.58,11349.87,11479.00,964541822.00
44985.00,11455.54,-11.43,0.00,11451.05,11435.39,11548.23,1257513789.00
44984.00,11466.98,72.04,0.01,11517.19,11444.60,11565.23,874290769.00
44981.00,11394.94,-195.46,-0.02,11404.18,11334.47,11434.36,900845111.00
44980.00,11590.40,83.33,0.01,11636.93,11432.58,11638.98,903165706.00
44979.00,11507.07,14.77,0.00,11517.20,11445.17,11582.52,942980445.00
44978.00,11492.30,-294.97,-0.03,11640.37,11491.18,11684.14,1024459287.00
44974.00,11787.27,-68.56,-0.01,11777.51,11673.21,11803.22,966304396.00
44973.00,11855.83,-214.76,-0.02,11896.31,11853.36,12040.34,986412623.00
44972.00,12070.59,110.45,0.01,11905.12,11876.82,12071.29,951903290.00
44971.00,11960.15,68.36,0.01,11808.20,11760.57,11999.85,929006113.00
44970.00,11891.79,173.67,0.01,11759.09,11719.73,11910.92,937010923.00
44967.00,11718.12,-71.46,-0.01,11714.60,11630.54,11775.80,934045726.00
44966.00,11789.58,-120.94,-0.01,12069.10,11745.11,12070.96,1029803728.00
44965.00,11910.52,-203.27,-0.02,12069.12,11890.09,12096.39,953412365.00
44964.00,12113.79,226.34,0.02,11891.25,11836.78,12150.22,1073750051.00
44963.00,11887.45,-119.50,-0.01,11904.41,11843.49,11973.41,1007617794.00
44960.00,12006.96,-193.86,-0.02,11946.86,11946.86,12231.31,1108032573.00
44959.00,12200.82,384.50,0.03,12065.15,12024.14,12269.56,1329415733.00
44958.00,11816.32,231.77,0.02,11573.14,11500.33,11904.02,1211159880.00
44957.00,11584.55,190.74,0.02,11398.58,11398.37,11586.01,1149254655.00
44956.00,11393.81,-227.90,-0.02,11512.34,11388.54,11553.31,954431016.00
44953.00,11621.71,109.30,0.01,11470.47,11470.27,11691.89,1049973118.00
44952.00,11512.41,199.06,0.02,11458.41,11341.19,11516.05,992595692.00
44951.00,11313.36,-20.92,0.00,11146.53,11069.18,11334.22,924716900.00
44950.00,11334.27,-30.14,0.00,11302.93,11282.65,11378.15,914952610.00
44949.00,11364.41,223.98,0.02,11171.94,11144.03,11405.50,1048562043.00
44946.00,11140.43,288.16,0.03,10924.66,10885.65,11143.17,1162609253.00
44945.00,10852.27,-104.74,-0.01,10890.40,10804.57,10932.52,905210389.00
44944.00,10957.01,-138.10,-0.01,11170.95,10952.05,11223.41,986971846.00
44943.00,11095.11,15.96,0.00,11070.00,11024.72,11145.44,990062310.00
44939.00,11079.16,78.05,0.01,10906.37,10900.16,11084.01,919658445.00
44938.00,11001.11,69.43,0.01,10969.26,10797.12,11027.75,1025942344.00
44937.00,10931.67,189.04,0.02,10794.99,10762.73,10932.44,1011418996.00
44936.00,10742.63,106.98,0.01,10607.72,10589.60,10743.67,888697431.00
44935.00,10635.65,66.35,0.01,10662.11,10619.12,10807.26,1036258757.00
44932.00,10569.29,264.05,0.03,10363.96,10265.04,10604.14,970665645.00
44931.00,10305.24,-153.52,-0.01,10390.31,10295.25,10393.22,957484193.00
44930.00,10458.76,71.78,0.01,10467.82,10337.64,10515.22,1035220303.00
44929.00,10386.99,-79.50,-0.01,10562.06,10309.16,10613.06,983361437.00
