Date,%Chg
3/30/23,0.00
3/29/23,-0.03
3/28/23,-0.02
3/27/23,-0.04
3/24/23,-0.04
3/23/23,0.03
3/22/23,0.04
3/21/23,-0.09
3/20/23,-0.04
3/17/23,0.11
3/16/23,-0.09
3/15/23,0.08
3/14/23,-0.06
3/13/23,0.03
3/10/23,0.11
3/9/23,0.11
3/8/23,-0.02
3/7/23,0.02
3/6/23,-0.01
3/3/23,-0.03
3/2/23,-0.04
3/1/23,0.01
2/28/23,-0.02
2/27/23,-0.04
2/24/23,0.04
2/23/23,-0.03
2/22/23,-0.03
2/21/23,0.08
2/17/23,0.01
2/16/23,0.05
2/15/23,-0.02
2/14/23,-0.04
2/13/23,-0.04
2/10/23,0.01
2/9/23,0.03
2/8/23,0.04
2/7/23,-0.03
2/6/23,0.03
2/3/23,0.01
2/2/23,0.02
2/1/23,-0.03
1/31/23,-0.02
1/30/23,0.03
1/27/23,-0.02
1/26/23,-0.01
1/25/23,0.00
1/24/23,-0.03
1/23/23,-0.01
1/20/23,-0.03
1/19/23,0.00
1/18/23,0.03
1/17/23,0.01
1/13/23,-0.02
1/12/23,-0.05
1/11/23,0.01
1/10/23,-0.04
1/9/23,0.01
1/6/23,-0.02
1/5/23,0.01
1/4/23,-0.03
1/3/23,0.00
12/30/22,0.00
12/29/22,-0.01
12/28/22,0.00
12/27/22,0.00
12/23/22,-0.03
12/22/22,0.05
12/21/22,-0.04
12/20/22,-0.01
12/19/22,-0.03
12/16/22,0.01
12/15/22,0.06
12/14/22,-0.04
12/13/22,-0.04
12/12/22,-0.01
12/9/22,0.02
12/8/22,-0.02
12/7/22,0.01
12/6/22,0.03
12/5/22,0.02
12/2/22,-0.02
12/1/22,-0.02
11/30/22,-0.04
11/29/22,-0.01
11/28/22,0.04
11/25/22,0.00
11/23/22,-0.02
11/22/22,-0.03
11/21/22,-0.03
11/18/22,-0.01
11/17/22,-0.01
11/16/22,-0.03
11/15/22,0.01
11/14/22,0.00
11/11/22,-0.01
11/10/22,-0.05
11/9/22,0.03
11/8/22,0.03
11/7/22,-0.01
11/4/22,-0.01
11/3/22,-0.02
11/2/22,0.03
11/1/22,-0.01
10/31/22,-0.02
10/28/22,-0.02
10/27/22,-0.02
10/26/22,-0.02
10/25/22,-0.04
10/24/22,-0.02
10/21/22,0.00
10/20/22,-0.01
10/19/22,0.01
10/18/22,-0.02
10/17/22,-0.03
10/14/22,0.02
10/13/22,-0.03
10/12/22,-0.01
10/11/22,0.02
10/10/22,0.02
10/7/22,0.04
10/6/22,0.03
10/5/22,0.01
10/4/22,-0.04
10/3/22,-0.05
9/30/22,0.02
9/29/22,0.03
9/28/22,-0.04
9/27/22,0.01
9/26/22,0.03
9/23/22,0.06
9/22/22,-0.01
9/21/22,0.03
9/20/22,0.03
9/19/22,-0.03
9/16/22,0.00
9/15/22,0.00
9/14/22,0.00
9/13/22,0.09
9/12/22,-0.01
9/9/22,-0.01
9/8/22,-0.02
9/7/22,-0.05
9/6/22,0.02
9/2/22,0.01
9/1/22,-0.01
8/31/22,-0.02
8/30/22,0.02
8/29/22,-0.01
8/26/22,0.10
8/25/22,-0.03
8/24/22,-0.03
8/23/22,-0.02
8/22/22,0.06
8/19/22,0.05
8/18/22,-0.02
8/17/22,0.00
8/16/22,0.01
8/15/22,-0.02
8/12/22,-0.01
8/11/22,0.01
8/10/22,-0.06
8/9/22,0.01
8/8/22,0.01
8/5/22,-0.03
8/4/22,0.00
8/3/22,-0.05
8/2/22,0.01
8/1/22,0.04
7/29/22,-0.01
7/28/22,-0.05
7/27/22,-0.03
7/26/22,0.02
